date,num_trades,avg_return,daily_profit
2025-08-01,5,0.0,0
2025-08-02,5,0.0,0
2025-08-04,5,0.0,0
2025-08-05,5,0.0,0
2025-08-06,5,0.0,0
2025-08-07,5,0.0,0
2025-08-08,5,0.0,0
2025-08-11,5,0.0,0
2025-08-12,5,0.0,0
2025-08-13,5,0.0,0
2025-08-14,5,0.0,0
2025-08-15,5,0.0,0
2025-08-18,5,0.0,0
2025-08-19,5,0.0,0
2025-08-20,5,0.0,0
2025-08-21,5,0.0,0
2025-08-22,5,0.0,0
2025-08-25,5,0.0,0
2025-08-26,5,0.0,0
2025-08-27,5,0.0,0
2025-08-28,5,0.0,0
2025-08-29,5,0.0,0
2025-09-01,5,0.0,0
2025-09-02,5,0.0,0
2025-09-03,5,0.0,0
2025-09-04,5,0.0,0
2025-09-05,5,0.0,0
